URL,Filesize,Number of Outgoing links,Content type
http://www.latimes.com/sports/ucla/la-sp-ucla-arizona-20170121-story.html,242472,66,text/html;charset=UTF-8
http://www.latimes.com/sports/sportsnow/la-sp-letters-20161223-story.html,191688,78,text/html;charset=UTF-8
http://www.latimes.com/opinion/op-ed/la-oe-mcmanus-deep-state-20170219-story.html,239499,75,text/html;charset=UTF-8
http://www.latimes.com/travel/la-tr-california-bucket-list-updates-2017-htmlstory.html,276532,162,text/html;charset=UTF-8
http://www.latimes.com/fashion/la-ig-pixie-beauty-20170214-story.html,229378,62,text/html;charset=UTF-8
http://www.latimes.com/travel/deals/la-tr-vegas-brittney-spears-new-dates-20170207-story_amp.html,54700,29,text/html;charset=UTF-8
http://www.latimes.com/local/weather/?regionalZipCode=92262,220764,81,text/html;charset=UTF-8
http://www.latimes.com/opinion/la-ol-trump-obamacare-exchanges-20170215-story.html,247734,77,text/html;charset=UTF-8
http://www.latimes.com/visuals/photography/la-me-lake-oroville-spillway-pictures-photogallery.html,189705,46,text/html;charset=UTF-8
http://www.latimes.com/entertainment/music/posts/la-et-ms-daft-punk-pop-up-shop-20170216-story.html,172894,46,text/html;charset=UTF-8
http://www.latimes.com/sports/highschool/,308691,120,text/html;charset=UTF-8
http://www.latimes.com/entertainment/arts/la-et-cm-bamberg-ray-chen-review-20170219-story.html,230459,59,text/html;charset=UTF-8
